Initial Size,Experiment Size(N),Experiment Height(h),Sqrt(N)
525,530.8,19.4,23.03909720453473
526,522.0,19.9,22.847319317591726
527,516.2,18.8,22.720035211240322
528,530.6,19.9,23.034756347745464
529,529.8,19.8,23.017384734152575
530,523.6,18.8,22.882307575941724
531,531.2,19.1,23.047776465420693
532,522.8,20.4,22.86482013924448
533,526.8,18.5,22.952124084711635
534,531.0,18.9,23.043437243605826
535,543.8,19.9,23.31951972061174
536,544.4,19.8,23.332380932943813
537,533.4,19.6,23.095454098155333
538,539.6,20.0,23.22929185317538
539,528.2,20.2,22.98260211551338
540,542.0,20.2,23.280893453645632
541,541.8,20.0,23.276597689524987
542,539.0,19.6,23.2163735324878
543,540.0,19.9,23.2379000772445
544,546.2,19.2,23.370922104187503
545,536.8,19.3,23.16894473211933
546,545.2,20.0,23.34951819631403
547,547.2,20.3,23.392306427541513
548,544.2,20.0,23.32809465001375
549,542.6,19.9,23.293775992741065
550,552.4,19.7,23.50319127267614
551,552.0,19.9,23.49468024894146
552,545.6,18.9,23.358082113050294
553,550.6,19.8,23.46486735526114
554,552.8,19.6,23.51169921549695
555,556.2,19.2,23.583892808440257
556,561.6,20.4,23.6981011897578
557,554.2,19.8,23.54145280138845
558,554.4,19.9,23.5457002444183
559,561.6,19.2,23.6981011897578
560,557.6,20.2,23.613555429032708
561,565.0,19.6,23.769728648009426
562,569.2,20.8,23.85791273351464
563,562.0,20.9,23.706539182259394
564,556.2,19.7,23.583892808440257
565,565.2,19.8,23.77393530739074
566,566.4,20.2,23.799159649029626
567,573.0,20.8,23.93741840717165
568,568.2,19.9,23.836946113124476
569,570.6,20.7,23.88723508487326
570,569.6,20.3,23.866294224282075
571,574.2,20.5,23.96247065725903
572,567.6,19.3,23.82435728409058
573,560.4,20.0,23.672769166280485
574,585.0,19.2,24.186773244895647
575,574.8,21.0,23.97498696558561
576,575.8,19.4,23.99583297158071
577,582.4,19.7,24.13296500639737
578,582.0,20.3,24.124676163629637
579,578.4,19.9,24.04994802489186
580,564.4,20.4,23.757104200638594
581,577.6,19.4,24.033310217279684
582,585.2,20.3,24.190907382733705
583,583.4,20.1,24.153674668671016
584,583.6,19.2,24.157814470684222
585,574.8,20.3,23.97498696558561
586,593.6,20.7,24.363907732545698
587,590.4,19.6,24.298148077579903
588,590.0,20.9,24.289915602982237
589,586.2,20.6,24.21156748333325
590,589.2,19.8,24.273442277518036
591,591.4,22.0,24.318717071424636
592,590.4,19.9,24.298148077579903
593,594.8,19.4,24.38852189043034
594,599.4,19.8,24.482646915723798
595,588.2,20.6,24.252834885843757
596,591.8,20.0,24.326939799325356
597,603.8,20.1,24.57234217570641
598,594.8,20.1,24.38852189043034
599,598.4,20.6,24.462215762273047
600,596.8,20.0,24.42949037536395
601,607.4,20.8,24.645486402179202
602,607.8,21.0,24.653600142778334
603,601.2,19.6,24.51938009004306
604,607.4,20.1,24.645486402179202
605,607.2,20.8,24.641428530018302
606,606.2,20.9,24.621129137389293
607,617.6,20.0,24.851559307214508
608,608.4,19.2,24.66576574931336
609,607.0,19.7,24.63736998950984
610,602.8,19.5,24.551985663078252
611,618.6,21.0,24.87167063146342
612,614.6,20.6,24.791127445116327
613,607.2,20.4,24.641428530018302
614,610.4,20.7,24.706274506691614
615,614.8,21.5,24.795160818191924
