Size(N),Experiment Height(h),Log of Size,Sqrt of Size
641,21.0,6.4444491711841225,25.083859352181037
642,21.0,6.465211162632552,25.34561105990542
643,20.6,6.470799503782602,25.41653005427767
644,21.1,6.4760488596687455,25.483327883147442
645,21.1,6.460842980959799,25.29031435154573
646,20.4,6.463653287259055,25.325876095408823
647,20.6,6.470180116955739,25.408659941051596
648,21.0,6.478202375344883,25.51078203426935
649,21.4,6.481577129276431,25.553864678361276
650,21.7,6.48402436206708,25.58515194404755
651,20.0,6.473582006737229,25.451915448547286
652,21.9,6.48218949916697,25.56169008496895
653,20.6,6.47327322180348,25.44798616786798
654,21.3,6.47881681468833,25.51862065237853
655,20.4,6.472346294500901,25.436194683953808
656,20.9,6.481577129276431,25.553864678361276
657,21.1,6.4775875582336,25.502941006872128
658,21.0,6.492845712045973,25.69824896758532
659,20.8,6.48280149429011,25.569513096654774
660,20.3,6.48494053253886,25.59687480924185
661,20.4,6.48859684374197,25.64371267971937
662,22.1,6.506381788777226,25.87276560400917
663,20.7,6.502190165873639,25.818597947990902
664,20.9,6.501589925759579,25.810850431553007
665,21.8,6.492542819419093,25.694357357209775
666,20.9,6.500087747318773,25.791471458604295
667,20.5,6.510555915291006,25.926820090400597
668,21.4,6.4895088365092395,25.65540878645281
669,20.6,6.505784060128229,25.865034312755125
670,21.3,6.4949633954875114,25.725473756570548
671,20.7,6.512636462928117,25.953805116013335
672,20.3,6.4967749901858625,25.748786379167466
673,20.7,6.508471029949054,25.899806949087477
674,21.6,6.524149505226866,26.1036395929763
675,20.9,6.5018900908526325,25.814724480420082
676,20.8,6.513230110912307,25.96150997149434
677,21.3,6.520621127558696,26.057628441590765
678,21.2,6.5297107664499645,26.17632518135424
679,21.1,6.525322869984546,26.1189586316147
680,21.1,6.512636462928117,25.953805116013335
681,21.1,6.523562306149512,26.095976701399778
682,21.3,6.524736359703803,26.111300235721696
683,21.7,6.540452631968321,26.317294693794043
684,21.0,6.528542542018038,26.161039734689446
685,21.6,6.517080256346608,26.01153590236455
686,21.3,6.530002609440508,26.180145148566307
687,20.9,6.521210055726484,26.065302607105867
688,20.7,6.529418838262226,26.1725046566048
689,22.1,6.524442975515106,26.107470195329153
690,22.1,6.545924207894034,26.38939180807318
691,21.6,6.538718527487524,26.29448611401257
692,20.9,6.5392968965030684,26.30209117161599
693,21.3,6.534950953113521,26.2449995237188
694,21.8,6.536111719349483,26.260236099471765
695,21.8,6.548219102762372,26.419689627245813
696,21.2,6.5473591342415505,26.408332018512642
697,20.9,6.539007753809136,26.298288917722385
698,22.1,6.569200876156599,26.698314553544385
699,21.5,6.54534966033442,26.38181191654584
700,21.1,6.559615237493242,26.570660511172846
701,20.4,6.5641375742000525,26.630809225406576
702,21.4,6.55250788703459,26.476404589747453
703,21.8,6.573400798331925,26.754438884043147
704,20.8,6.554503042320907,26.502830037563914
705,21.7,6.56187896228563,26.600751869073175
706,22.3,6.541607033250923,26.332489437954777
707,21.9,6.557914074621969,26.548069609672186
708,22.0,6.555925720039882,26.521689237301608
709,20.6,6.57060281105606,26.71703576372199
710,20.9,6.571163035160348,26.724520575681055
711,21.9,6.562161567911363,26.6045108957109
712,21.7,6.5530783377060775,26.48395740821224
713,21.7,6.57507584059962,26.77685567799177
714,21.2,6.569481420414296,26.70205984563738
715,21.2,6.592496438760121,27.011108825814613
716,20.5,6.57507584059962,26.77685567799177
717,20.6,6.57702651698799,26.802984908401527
718,21.4,6.568358770843678,26.68707552355634
719,21.7,6.571443029562289,26.72826219566098
720,21.6,6.579251212010101,26.832815729997478
721,20.2,6.581470968748414,26.862613424609304
722,21.3,6.571163035160348,26.724520575681055
723,21.8,6.590850347853453,26.98888660171071
724,21.2,6.59222227837458,27.00740639158081
725,21.5,6.586171654854675,26.92582403567252
726,20.9,6.580639137284949,26.851443164195103
